á.	 'a
mbrola: Warning: r-k unkown, replaced with _-_
açambarcar.	 ,as&~Nba*@-k'ar
mbrola: Warning: r-k unkown, replaced with _-_
a-amilase.	 a,&mil'azy
açaí-mirim.	 ,asa'imi*'iN
açamoucar.	 ,as&mowk'ar
açaná.	 ,as&~n'a
açancalhar.	 ,as&~Nkal^'ar
açancanhar.	 ,as&~Nk&~n^'ar
açangalhada.	 ,as&~Ngal^'ad&
açanganhar.	 ,as&~Ng&~n^'ar
açanharão.	 ,as&~n^a*'&U~
açanicar.	 ,as&nik'ar
açanuíra.	 ,as&nu'i*&
açapar.	 ,asap'ar
açapuva.	 ,asap'uv&
aaquenense.	 ,aaken'eINsy
aaquênio.	 ,aakw'eINjU
açarçalhar.	 ,asa*@-sal^'ar
mbrola: Warning: r-s unkown, replaced with _-_
açarcanhar.	 ,asa*@-k&~n^'ar
mbrola: Warning: r-k unkown, replaced with _-_
aardvark.	 ,aa*@-dZIv'a*@-k
mbrola: Warning: r-d unkown, replaced with _-_
mbrola: Warning: r-k unkown, replaced with _-_
açareense.	 ,asa*e'eINsy
aariano.	 ,aa*i;'&~nU
açarilhado.	 ,asa*il^'adU
aarônico.	 ,aa*'onikU
aarônida.	 ,aa*'onid&
Aarão.	 ,aa*'&U~
aaronita.	 ,aa*on'it&
açaís-brancos.	 ,asa'isbR'&~NkUs
açaís-catinga.	 ,asa'isk,atS'iNg&
açaís-chumbo.	 ,asa'isS'u~NbU
açaís-de-caatinga.	 ,asa'isdZyk,aatS'iNg&
açaís-do-alto-amazonas.	 ,asa'isdU'aUtU,&maz'on&s
açaís-do-pará.	 ,asa'isdUpa*'a
açaís-mirins.	 ,asa'ismi*'iNs#
açauiani.	 ,asaU,i;&~n'i
AB.	 'ab
Abã.	 ab'&~
ab.	 'ab
abaçaí.	 ,abasa'i
Abaçai.	 ,abas'aI
abaçanar.	 ,abas&n'ar
ababé.	 ,abab'E
Ababa.	 ,ab'ab&
ababadar.	 ,ababad'ar
ababaia.	 ,abab'aI;&
ababalhar.	 ,ababal^'ar
ababalhos.	 ,abab'al^Us
ababalidade.	 ,abab,alid'adZy
ababangai.	 ,abab&~Ng'aI
abaíbas.	 ,aba'ib&s
ababelação.	 ,abab,elas'&U~
ababelar.	 ,ababel'ar
ababelável.	 ,ababel'aveU
ababil.	 ,abab'iU
ababocado.	 ,ababok'adU
ababone.	 ,abab'ony
ababoni.	 ,ababon'i
ababosação.	 ,abab,ozas'&U~
ababosar.	 ,ababoz'ar
ababosável.	 ,ababoz'aveU
ababroar.	 ,ababRo'ar
ababuá.	 ,ababw'a
abacá.	 ,abak'a
abacaí.	 ,abaka'i
abacaíba.	 ,abaka'ib&
abacado.	 ,abak'adU
abacalhoar.	 ,abak,al^o'ar
abacamartado.	 ,abak,&ma*@-t'adU
mbrola: Warning: r-t unkown, replaced with _-_
abacanto.	 ,abak'&~NtU
abacatada.	 ,abakat'ad&
abacataia.	 ,abakat'aI;&
abacatal.	 ,abakat'aU
abacate.	 ,abak'atSy
abacate-do-mato.	 ,abak'atSydUm'atU
abacateiral.	 ,abak,ateI*'aU
abacateiro.	 ,abakat'eI*U
abacatense.	 ,abakat'eINsy
abacaterana.	 ,abak,ate*'&~n&
abacates-do-mato.	 ,abak'atSysdUm'atU
abacatiar.	 ,abak,atSi;'ar
abacatina.	 ,abakatS'in&
abacatirana.	 ,abak,atSi*'&~n&
abacatuaia.	 ,abak,atu'aI;&
abacatuia.	 ,abakat'uI&
abacatúxia.	 ,abakat'uksj&
abacavir.	 ,abakav'ir
abacaxi.	 ,abakaS'i
abacaxibirra.	 ,abak,aSib'ix&
